employee_id,skill
73,Spock
74,Google Cloud
74,Terraform
74,Kubernetes
74,AWS
75,SQL
75,Google Cloud
75,Microsoft Power BI
75,Tableau
76,NoSQL databases
76,Google Cloud
76,Java
76,Hadoop
77,Kotlin
77,React Native
77,Flutter
77,IOS
78,Typescript
78,HTML/CSS
78,Google Cloud
78,Microsoft Azure
79,AWS
79,relational databases
79,Microsoft Azure
80,Docker Compose
80,AWS
80,Terraform
81,AWS
81,Javascript
81,React
82,Google Cloud
82,AWS
82,relational databases
83,Postman
83,PyRestTest
83,Spock
84,SQL
84,Google Cloud
84,Microsoft Azure
84,Tableau
85,SQL
85,Firebase
85,AWS
86,SQL
86,Google Cloud
86,Microsoft Azure
86,AWS
87,Kotlin
87,React Native
87,IOS
88,Terraform
88,Microsoft Azure
88,Chef
88,Docker
89,Python
89,Spock
89,Java
89,Postman
90,Chef
90,Microsoft Azure
90,Kubernetes
90,Docker
90,Puppet
91,Typescript
91,HTML/CSS
92,Python
92,Google Cloud
92,Java
93,React Native
93,Android
93,Xamarin
93,IOS
94,Kotlin
94,React Native
94,Flutter
94,IOS
95,Google Cloud
95,Java
95,Spark
95,AWS
96,SQL
96,Google Cloud
97,React Native
97,Flutter
98,JUNIT
98,Java
98,PyRestTest
98,Python
98,Postman
99,Docker Compose
99,Kubernetes
99,AWS
100,HTML/CSS
101,Typescript
101,React
101,Microsoft Azure
101,Angular
102,SQL
102,Scala
102,Java
103,PyRestTest
103,Postman
103,Spock
104,AWS
104,Chef
104,Microsoft Azure
104,Puppet
104,Docker Compose
105,NoSQL databases
105,Google Cloud
105,Java
105,Python
105,Hadoop
106,relational databases
106,Microsoft Azure
107,AWS
107,Microsoft Power BI
107,Microsoft Azure
108,SQL
108,Google Cloud
109,HTML/CSS
109,React
109,Javascript
109,Angular
110,Python
110,relational databases
110,SQL
110,Microsoft Azure
111,HTML/CSS
111,Javascript
111,AWS
111,React
112,Docker Compose
112,Terraform
112,Microsoft Azure
113,SQL
113,Microsoft Power BI
113,Microsoft Azure
114,Python
114,PyRestTest
114,Spock
115,Kotlin
115,React Native
116,React Native
116,Android
116,IOS
117,AWS
117,Microsoft Azure
117,Kubernetes
117,Google Cloud
117,Docker Compose
117,Terraform
118,SQL
118,Microsoft Power BI
118,Microsoft Azure
119,SQL
119,Google Cloud
119,Java
120,Typescript
120,Javascript
120,React
121,NoSQL databases
121,AWS
121,SQL
121,Hadoop
121,Scala
121,relational databases
122,Kotlin
122,React Native
122,IOS
123,Kotlin
123,React Native
123,Flutter
124,Kotlin
124,React Native
124,Flutter
124,IOS
125,SQL
125,AWS
125,Microsoft Power BI
125,Microsoft Azure
126,Google Cloud
126,Docker
126,Terraform
127,Tableau
127,Firebase
127,Microsoft Power BI
127,Microsoft Azure
128,Google Cloud
128,Java
128,relational databases
128,AWS
129,Python
129,Google Cloud
129,relational databases
130,Java
130,PyRestTest
130,Spock
130,JUNIT
130,Postman
131,Tableau
131,Google Cloud
131,AWS
132,AWS
132,Java
132,relational databases
133,Kubernetes
133,AWS
133,Chef
134,JUNIT
134,Python
134,Spock
135,Google Cloud
135,Java
135,relational databases
135,AWS
136,Google Cloud
136,Hadoop
136,Microsoft Azure
137,AWS
137,Javascript
137,Microsoft Azure
138,Python
138,PyRestTest
138,Postman
139,Typescript
139,HTML/CSS
140,SQL
140,Google Cloud
140,AWS
140,Spark
141,AWS
141,SQL
141,relational databases
141,Python
141,Hadoop
142,AWS
142,Microsoft Azure
142,Typescript
142,React
142,HTML/CSS
142,Angular
143,HTML/CSS
143,Javascript
144,AWS
144,Microsoft Azure
144,SQL
144,Microsoft Power BI
144,Tableau
145,JUNIT
145,PyRestTest
145,Postman
146,Google Cloud
146,Puppet
146,Docker
147,Python
147,AWS
147,relational databases
147,Microsoft Azure
148,Chef
148,AWS
148,Google Cloud
148,Docker Compose
148,Terraform
149,AWS
149,Java
149,relational databases
149,Microsoft Azure
150,Kubernetes
150,AWS
150,Puppet
150,Chef
151,SQL
151,Google Cloud
151,Microsoft Power BI
151,Microsoft Azure
152,React Native
152,Flutter
153,AWS
153,Microsoft Azure
153,HTML/CSS
153,Javascript
153,Angular
154,Python
154,PyRestTest
154,JUNIT
154,Spock
155,NoSQL databases
155,Scala
155,Google Cloud
155,Java
156,Google Cloud
156,relational databases
156,AWS
157,Google Cloud
157,Microsoft Azure
158,Scala
158,AWS
158,Java
158,Hadoop
159,Google Cloud
159,AWS
159,Microsoft Azure
160,Python
160,Google Cloud
160,Java
160,Microsoft Azure
161,Python
161,Google Cloud
161,relational databases
162,Firebase
162,AWS
163,Google Cloud
163,Firebase
163,Microsoft Power BI
164,AWS
164,Google Cloud
164,HTML/CSS
164,Javascript
164,Angular
165,AWS
165,relational databases
166,SQL
166,Microsoft Power BI
166,Microsoft Azure
167,Docker Compose
167,Chef
167,Microsoft Azure
168,Java
168,PyRestTest
168,Spock
168,JUNIT
168,Postman
169,React Native
169,Android
169,IOS
170,Firebase
170,Microsoft Power BI
171,Python
171,Java
171,Spock
172,AWS
172,Chef
172,Microsoft Azure
172,Terraform
173,HTML/CSS
173,React
173,Javascript
174,AWS
174,Chef
174,Microsoft Azure
174,Google Cloud
174,Puppet
175,Terraform
175,Puppet
175,Chef
176,React Native
176,Android
176,Flutter
176,Xamarin
176,IOS
177,Python
177,Spock
177,Java
177,Postman
178,Firebase
178,Microsoft Power BI
178,Tableau
179,Docker Compose
179,Google Cloud
179,AWS
180,AWS
180,Chef
180,Docker
180,Google Cloud
180,Puppet
180,Docker Compose
181,Microsoft Azure
181,Typescript
181,HTML/CSS
181,Google Cloud
181,Javascript
182,AWS
182,SQL
182,Python
182,Scala
182,Spark
182,Hadoop
183,Firebase
183,Google Cloud
183,AWS
183,Microsoft Power BI
184,AWS
184,Java
184,relational databases
184,Microsoft Azure
185,HTML/CSS
185,Javascript
185,Angular
186,SQL
186,AWS
186,Microsoft Azure
186,Tableau
187,React Native
187,Android
187,Xamarin
187,Flutter
188,IOS
188,Kotlin
188,Android
188,Flutter
189,Chef
189,Microsoft Azure
189,Google Cloud
189,Docker Compose
189,Terraform
190,Java
190,PyRestTest
190,Spock
191,Kotlin
191,Android
191,IOS
192,Docker Compose
192,AWS
192,Puppet
193,Python
193,Spock
194,Python
194,Google Cloud
194,Scala
194,AWS
195,JUNIT
195,Postman
195,PyRestTest
195,Spock
196,AWS
196,Google Cloud
196,Java
196,Python
196,Spark
196,relational databases
197,Tableau
197,Microsoft Power BI
197,AWS
198,HTML/CSS
198,Microsoft Azure
198,AWS
199,SQL
199,AWS
199,Microsoft Azure
200,AWS
200,relational databases
200,Microsoft Azure
201,Python
201,JUNIT
201,Spock
202,HTML/CSS
202,React
202,Angular
203,Hadoop
203,SQL
203,Java
203,Scala
203,Spark
203,relational databases
204,Google Cloud
204,HTML/CSS
204,React
205,JUNIT
205,Spock
205,Postman
206,Kotlin
206,React Native
206,Android
207,Kubernetes
207,Puppet
208,SQL
208,Google Cloud
208,Microsoft Power BI
208,Tableau
209,Microsoft Power BI
209,Microsoft Azure
210,JUNIT
210,Java
210,Spock
211,Kotlin
211,Flutter
211,Android
211,Xamarin
211,IOS
212,Java
212,relational databases
213,AWS
213,Microsoft Azure
213,React
213,Google Cloud
213,HTML/CSS
213,Javascript
214,JUNIT
214,Python
214,Java
214,Spock
215,AWS
215,Google Cloud
215,Java
215,Python
215,relational databases
216,AWS
216,Microsoft Azure
216,React
216,Google Cloud
216,HTML/CSS
216,Angular
217,Kotlin
217,Android
217,Flutter
217,Xamarin
217,IOS
218,AWS
218,Kubernetes
218,Puppet
218,Docker Compose
218,Terraform
219,Python
219,AWS
219,relational databases
219,Microsoft Azure
220,SQL
220,Firebase
220,Microsoft Power BI
221,NoSQL databases
221,Java
221,Hadoop
221,Spark
222,Google Cloud
222,Firebase
222,AWS
222,Microsoft Power BI
223,Kotlin
223,React Native
224,SQL
224,Google Cloud
224,Java
224,AWS
225,Python
225,Google Cloud
225,Java
225,relational databases
226,AWS
226,Microsoft Azure
227,React Native
227,Android
227,Xamarin
228,SQL
228,Microsoft Power BI
228,Tableau
229,Python
229,JUNIT
229,Spock
230,JUNIT
230,Python
231,SQL
231,Firebase
231,Google Cloud
232,Python
232,Google Cloud
232,relational databases
232,Microsoft Azure
233,Docker
233,Chef
233,Puppet
233,Microsoft Azure
234,AWS
234,Microsoft Azure
234,Docker
234,Puppet
234,Terraform
235,SQL
235,Scala
235,Google Cloud
236,Google Cloud
236,Microsoft Power BI
236,Tableau
237,Firebase
237,AWS
237,Microsoft Power BI
237,Tableau
238,AWS
238,Microsoft Azure
238,SQL
238,Firebase
238,Google Cloud
238,Tableau
239,Google Cloud
239,AWS
239,Java
239,relational databases
240,HTML/CSS
240,Google Cloud
241,Google Cloud
241,Terraform
242,JUNIT
242,PyRestTest
242,Python
243,Chef
243,Kubernetes
243,Docker
243,Google Cloud
243,Docker Compose
243,Terraform
244,Kotlin
244,React Native
244,Xamarin
245,Microsoft Power BI
245,AWS
246,HTML/CSS
246,React
247,AWS
247,Firebase
247,Google Cloud
247,Microsoft Power BI
247,Tableau
248,Microsoft Azure
248,Kubernetes
248,Docker
248,Puppet
248,Docker Compose
249,AWS
249,Microsoft Azure
249,React
249,HTML/CSS
249,Google Cloud
250,Microsoft Azure
250,SQL
250,Google Cloud
250,Scala
250,Spark
250,Hadoop
251,Google Cloud
251,Microsoft Power BI
252,JUNIT
252,Python
252,Java
252,Spock
253,Typescript
253,HTML/CSS
253,React
253,Google Cloud
254,AWS
254,Microsoft Azure
254,Typescript
254,React
254,Google Cloud
255,React Native
255,Flutter
255,Android
256,Google Cloud
256,relational databases
257,Kubernetes
257,Terraform
257,Microsoft Azure
258,Java
258,PyRestTest
258,Spock
258,JUNIT
258,Python
259,Hadoop
259,NoSQL databases
259,Spark
259,relational databases
260,Python
260,Java
260,Spock
261,Java
261,Spock
262,NoSQL databases
262,SQL
262,Google Cloud
262,Scala
262,relational databases
263,HTML/CSS
263,Javascript
263,React
264,React Native
264,Xamarin
265,Microsoft Power BI
265,Microsoft Azure
266,Google Cloud
266,Typescript
266,HTML/CSS
266,Javascript
267,Chef
267,AWS
267,Docker
267,Google Cloud
267,Puppet
268,Kotlin
268,React Native
268,Xamarin
269,AWS
269,Microsoft Azure
269,Typescript
269,Google Cloud
269,Javascript
269,Angular
270,Python
270,Google Cloud
270,AWS
271,Terraform
271,Microsoft Azure
271,AWS
271,Docker
272,Kotlin
272,React Native
272,Flutter
273,Python
273,AWS
273,relational databases
274,Google Cloud
274,relational databases
274,AWS
275,SQL
275,AWS
275,Microsoft Power BI
275,Microsoft Azure
276,Python
276,Java
276,Spock
277,Google Cloud
277,Java
277,Microsoft Azure
278,Kotlin
278,React Native
278,Android
278,IOS
279,Microsoft Azure
279,SQL
279,Firebase
279,Google Cloud
279,Tableau
280,AWS
280,Javascript
280,Microsoft Azure
280,Angular
281,Kotlin
281,React Native
281,Flutter
281,IOS
282,Kotlin
282,React Native
282,Android
282,Xamarin
283,Kotlin
283,React Native
283,Flutter
283,Android
283,IOS
284,Microsoft Azure
284,Docker
284,Puppet
284,Docker Compose
284,Terraform
285,Google Cloud
285,relational databases
285,AWS
286,Microsoft Azure
286,Google Cloud
286,Java
286,Python
286,relational databases
287,React Native
287,Xamarin
288,Python
288,PyRestTest
288,Spock
289,SQL
289,Google Cloud
289,Microsoft Azure
290,SQL
290,Scala
290,AWS
290,Spark
291,AWS
291,Microsoft Azure
291,Typescript
291,Google Cloud
291,Javascript
291,Angular
292,NoSQL databases
292,Google Cloud
292,Spark
292,AWS
293,Typescript
293,React
294,AWS
294,Microsoft Azure
294,Kubernetes
294,Google Cloud
294,Puppet
295,React Native
295,Flutter
295,Xamarin
296,SQL
296,Tableau
297,Python
297,relational databases
297,Microsoft Azure
298,AWS
298,SQL
298,Google Cloud
298,Python
298,Scala
299,JUNIT
299,Python
299,Java
299,Spock
300,JUNIT
300,Java
300,Postman
300,Spock
301,React Native
301,Flutter
301,Xamarin
301,IOS
302,Python
302,Postman
302,JUNIT
302,Spock
303,Flutter
303,React Native
303,Android
303,IOS
304,Kotlin
304,React Native
304,Xamarin
304,Flutter
305,Docker Compose
305,Google Cloud
305,Terraform
305,Chef
306,JUNIT
306,Postman
306,Spock
307,Java
307,PyRestTest
307,Postman
308,JUNIT
308,Python
308,Spock
308,Postman
309,Google Cloud
309,relational databases
309,Microsoft Azure
310,JUNIT
310,Python
310,Java
310,Spock
311,SQL
311,Google Cloud
311,Microsoft Power BI
311,AWS
312,Google Cloud
312,relational databases
313,Python
313,Scala
313,Microsoft Azure
314,AWS
314,Java
315,React
315,Google Cloud
315,HTML/CSS
315,Javascript
315,Angular
316,React Native
316,Android
317,JUNIT
317,PyRestTest
317,Spock
318,React Native
318,Android
318,IOS
319,AWS
319,Microsoft Azure
319,Google Cloud
319,Java
319,Python
320,Microsoft Azure
320,Kubernetes
320,Docker
320,Google Cloud
320,Docker Compose
321,Python
321,JUNIT
321,Postman
321,Spock
322,Postman
322,PyRestTest
322,Spock
323,Java
323,PyRestTest
324,Tableau
324,Microsoft Power BI
324,AWS
325,Typescript
325,AWS
325,Javascript
325,Angular
326,Python
326,Java
326,Microsoft Azure
327,SQL
327,Google Cloud
327,Microsoft Azure
327,Tableau
328,HTML/CSS
328,Google Cloud
328,React
328,Microsoft Azure
329,AWS
329,Google Cloud
329,Chef
330,Java
330,relational databases
330,Microsoft Azure
331,React Native
331,Flutter
331,Android
331,Xamarin
331,IOS
332,AWS
332,Microsoft Azure
332,React
332,HTML/CSS
332,Javascript
333,Google Cloud
333,HTML/CSS
333,Microsoft Azure
333,Angular
334,Python
334,Java
334,PyRestTest
334,Spock
335,SQL
335,Firebase
335,Microsoft Power BI
335,Microsoft Azure
336,Python
336,Postman
336,Spock
337,HTML/CSS
337,React
337,Angular
338,JUNIT
338,Java
338,Spock
339,Firebase
339,Microsoft Power BI
339,Microsoft Azure
340,Google Cloud
340,relational databases
341,React Native
341,Flutter
341,IOS
342,Microsoft Power BI
343,Kotlin
343,React Native
343,Android
343,Xamarin
344,Python
344,Google Cloud
344,Java
345,Terraform
345,Puppet
346,SQL
346,Google Cloud
347,Typescript
347,Microsoft Azure
348,SQL
348,Scala
348,AWS
348,relational databases
349,Docker Compose
349,Docker
350,Docker
350,AWS
350,Terraform
351,SQL
351,Firebase
351,Tableau
352,Python
352,Java
352,PyRestTest
353,Java
353,relational databases
353,Microsoft Azure
354,Microsoft Azure
354,SQL
354,Google Cloud
354,Python
354,Hadoop
355,Java
355,PyRestTest
356,Microsoft Power BI
356,Microsoft Azure
356,AWS
357,Angular
357,HTML/CSS
357,Javascript
357,React
358,Firebase
358,Microsoft Azure
358,Tableau
359,Google Cloud
359,relational databases
359,Microsoft Azure
360,NoSQL databases
360,AWS
360,Microsoft Azure
360,Google Cloud
360,Spark
361,Kubernetes
361,AWS
361,Puppet
361,Terraform
362,SQL
362,Google Cloud
362,Python
363,Python
363,Java
363,Postman
364,AWS
364,Google Cloud
364,Java
364,Python
364,relational databases
365,Python
365,Java
365,relational databases
366,React Native
366,Flutter
366,Xamarin
367,Docker Compose
367,Kubernetes
367,AWS
367,Terraform
368,Python
368,Postman
368,PyRestTest
368,JUNIT
369,AWS
369,Terraform
369,Chef
369,Microsoft Azure
370,AWS
370,Microsoft Azure
370,SQL
370,Python
370,Scala
370,Hadoop
371,Kotlin
371,IOS
372,NoSQL databases
372,Scala
372,AWS
373,AWS
373,relational databases
374,JUNIT
374,Java
374,Postman
375,Google Cloud
375,relational databases
376,Kotlin
376,Flutter
376,IOS
377,Microsoft Azure
377,SQL
377,Google Cloud
377,Microsoft Power BI
377,Tableau
378,Python
378,Java
378,JUNIT
379,Google Cloud
379,Puppet
379,Microsoft Azure
380,Firebase
380,Microsoft Power BI
380,Tableau
381,AWS
381,Microsoft Azure
381,Google Cloud
381,Python
381,relational databases
382,HTML/CSS
383,React Native
383,Flutter
383,Xamarin
383,IOS
384,SQL
384,Google Cloud
384,Java
384,Scala
384,Hadoop
385,React Native
385,Xamarin
386,AWS
386,Google Cloud
386,Java
386,Microsoft Azure
387,Microsoft Azure
387,Docker
387,Google Cloud
387,Puppet
387,Terraform
388,AWS
388,relational databases
389,AWS
389,Microsoft Azure
389,Typescript
389,HTML/CSS
389,Google Cloud
390,Google Cloud
390,Java
390,Microsoft Azure
391,Python
391,Google Cloud
391,Java
391,Microsoft Azure
392,Python
392,Java
392,relational databases
392,Microsoft Azure
393,React Native
393,Android
393,IOS
394,HTML/CSS
394,Google Cloud
394,React
394,Microsoft Azure
395,Postman
395,Java
395,PyRestTest
395,Spock
396,Python
396,AWS
396,Java
396,relational databases
397,React Native
397,Android
397,IOS
398,SQL
398,Java
398,Hadoop
399,Google Cloud
399,HTML/CSS
399,React
400,Spock
400,Java
400,PyRestTest
400,Postman
401,Python
401,Java
401,Spock
402,Kubernetes
402,Terraform
402,AWS
403,Google Cloud
403,relational databases
403,AWS
404,NoSQL databases
404,Scala
404,Spark
404,relational databases
405,Spock
405,Postman
406,Python
406,AWS
406,relational databases
407,Postman
407,Java
407,PyRestTest
407,JUNIT
407,Python
408,JUNIT
408,Java
408,Spock
409,SQL
409,AWS
409,Microsoft Power BI
409,Microsoft Azure
410,Python
410,NoSQL databases
410,Spark
410,Hadoop
411,HTML/CSS
411,AWS
411,Microsoft Azure
411,Angular
412,AWS
412,Microsoft Azure
412,Typescript
412,HTML/CSS
412,Javascript
412,Angular
413,HTML/CSS
413,Google Cloud
413,Angular
414,NoSQL databases
414,SQL
414,Google Cloud
414,Scala
414,Spark
415,JUNIT
415,Python
415,Postman
415,Spock
416,SQL
416,Firebase
416,Microsoft Azure
416,Tableau
417,AWS
417,Google Cloud
417,Python
417,Spark
417,relational databases
418,AWS
418,Google Cloud
418,Java
418,Python
418,relational databases
419,SQL
419,Firebase
419,Google Cloud
420,Google Cloud
420,AWS
420,Java
420,relational databases
421,Firebase
421,AWS
421,Microsoft Power BI
421,Tableau
422,Kotlin
422,React Native
423,AWS
423,Microsoft Azure
423,Tableau
424,AWS
424,Microsoft Azure
424,Kubernetes
424,Puppet
424,Docker Compose
425,SQL
425,Google Cloud
426,NoSQL databases
426,AWS
426,Microsoft Azure
426,SQL
426,Java
426,relational databases
427,Scala
427,Google Cloud
427,Spark
427,Hadoop
428,SQL
428,Firebase
428,Microsoft Power BI
428,Tableau
429,Chef
429,AWS
429,Microsoft Azure
429,Kubernetes
429,Docker Compose
429,Terraform
430,Python
430,Spock
430,PyRestTest
430,Postman
431,Typescript
431,AWS
431,React
431,Microsoft Azure
432,AWS
432,Typescript
432,React
432,Google Cloud
432,Javascript
433,AWS
433,HTML/CSS
433,React
433,Microsoft Azure
434,Python
434,Spock
434,PyRestTest
434,Postman
435,Kotlin
435,Flutter
435,IOS
436,Python
436,Google Cloud
436,Java
436,Hadoop
437,HTML/CSS
437,Google Cloud
437,Javascript
437,Angular
438,Google Cloud
438,AWS
438,Microsoft Azure
439,Google Cloud
439,AWS
439,Microsoft Power BI
439,Microsoft Azure
440,Docker Compose
440,AWS
440,Terraform
440,Microsoft Azure
441,Google Cloud
441,HTML/CSS
441,React
441,Angular
442,HTML/CSS
442,Javascript
443,NoSQL databases
443,Hadoop
443,Java
443,Python
443,Spark
443,relational databases
444,Python
444,relational databases
444,Microsoft Azure
445,SQL
445,Microsoft Power BI
445,Microsoft Azure
446,Typescript
446,AWS
446,Javascript
446,Google Cloud
447,Google Cloud
447,relational databases
448,SQL
448,AWS
448,Tableau
449,Microsoft Azure
449,SQL
449,Firebase
449,Google Cloud
449,Microsoft Power BI
450,AWS
450,Microsoft Azure
450,SQL
450,Google Cloud
450,Microsoft Power BI
451,AWS
451,Microsoft Azure
451,relational databases
451,Scala
451,Hadoop
452,JUNIT
452,PyRestTest
452,Postman
452,Spock
453,Kubernetes
453,Terraform
453,Chef
453,Google Cloud
454,AWS
454,Chef
454,Microsoft Azure
454,Kubernetes
454,Docker
454,Docker Compose
454,Terraform
455,React Native
455,Xamarin
455,Android
455,IOS
456,SQL
456,Google Cloud
456,Microsoft Power BI
456,Microsoft Azure
457,Javascript
457,React
458,Google Cloud
458,Java
459,Kubernetes
459,AWS
459,Puppet
459,Chef
460,NoSQL databases
460,Google Cloud
460,Spark
460,Microsoft Azure
461,AWS
461,Google Cloud
461,Java
461,Python
461,relational databases
462,AWS
462,Microsoft Power BI
463,AWS
463,Microsoft Azure
463,Google Cloud
463,Docker Compose
463,Terraform
464,Kotlin
464,React Native
464,Android
464,Xamarin
464,IOS
465,SQL
465,Firebase
465,Microsoft Power BI
466,relational databases
466,Microsoft Azure
467,Google Cloud
467,Spark
467,AWS
468,Chef
468,Kubernetes
468,Docker
468,Google Cloud
468,Docker Compose
468,Terraform
469,Spock
470,SQL
470,Firebase
470,Microsoft Azure
471,Google Cloud
471,Microsoft Power BI
471,Microsoft Azure
471,AWS
472,AWS
472,relational databases
473,relational databases
473,AWS
473,Hadoop
474,Typescript
474,HTML/CSS
474,Javascript
475,Kotlin
475,React Native
475,Flutter
476,Python
476,Hadoop
476,relational databases
476,AWS
477,Kotlin
477,Android
477,IOS
478,Docker Compose
478,Kubernetes
478,Terraform
478,Microsoft Azure
479,JUNIT
479,PyRestTest
479,Spock
480,Python
480,Google Cloud
480,AWS
480,relational databases
481,JUNIT
481,Java
481,Spock
482,JUNIT
482,Java
482,PyRestTest
482,Spock
482,Python
483,Google Cloud
483,Spark
484,Flutter
484,Android
484,IOS
485,Python
485,PyRestTest
485,Spock
486,Kotlin
486,React Native
486,Flutter
486,Xamarin
486,IOS
487,AWS
487,Microsoft Azure
487,Typescript
487,React
487,HTML/CSS
488,JUNIT
488,Java
488,PyRestTest
488,Spock
488,Python
489,relational databases
489,AWS
489,Spark
489,Hadoop
490,React Native
490,Flutter
490,Xamarin
490,IOS
491,SQL
491,AWS
491,Java
491,relational databases
492,Microsoft Azure
492,Google Cloud
492,Python
492,Scala
492,Spark
493,NoSQL databases
493,AWS
493,SQL
493,Google Cloud
493,relational databases
494,Python
494,AWS
494,Java
494,relational databases
495,Python
495,Spock
495,Java
495,Postman
496,Python
496,Spock
496,JUNIT
496,Postman
497,Microsoft Azure
497,SQL
497,Firebase
497,Google Cloud
497,Microsoft Power BI
497,Tableau
498,Google Cloud
498,AWS
498,Java
498,relational databases
499,AWS
499,Microsoft Azure
499,React
499,HTML/CSS
499,Javascript
500,Google Cloud
500,Firebase
500,Microsoft Power BI
500,Tableau
501,Java
501,Spock
502,Python
502,Java
502,Spock
503,SQL
503,Google Cloud
503,AWS
504,SQL
504,Google Cloud
504,Microsoft Azure
505,Terraform
505,Microsoft Azure
505,AWS
506,React Native
506,Flutter
506,Xamarin
506,IOS
507,Python
507,Google Cloud
507,relational databases
507,Microsoft Azure
508,Docker Compose
508,Google Cloud
508,Terraform
509,React Native
509,Android
509,IOS
510,AWS
510,Chef
510,Docker
511,Postman
511,PyRestTest
511,Spock
512,SQL
512,Firebase
512,AWS
512,Tableau
513,Python
513,PyRestTest
513,Spock
514,NoSQL databases
514,AWS
514,SQL
514,Python
514,Hadoop
515,Hadoop
515,Google Cloud
515,Python
515,Scala
515,relational databases
516,SQL
516,Google Cloud
516,Microsoft Power BI
516,Microsoft Azure
517,Python
517,Java
517,Postman
517,Spock
518,Kotlin
518,React Native
518,Android
518,IOS
519,JUNIT
519,PyRestTest
519,Spock
520,Flutter
520,React Native
520,Android
520,IOS
521,AWS
521,Terraform
521,Puppet
521,Docker
522,Typescript
522,HTML/CSS
522,Angular
523,AWS
523,Java
523,relational databases
